latitude,longitude
44.5594200000,4.7257200000
46.9258100000,6.3462000000
48.4931620000, -2.7604390000
45.6926520000, -0.3262900000
43.6755790366,5.0927031775
43.4127500000,5.0505900000
43.5822900000,5.0034300000
44.1036000000,3.0798400000
48.2717969874,4.0788030624
48.3041200000,4.0883300000
42.9545900000,1.6236600000
43.6694800000,7.2140000000
46.1022300000,3.5027800000
49.6536000000,3.3476700000
48.9004080000,2.3715030000
48.8479990000,2.3301760000
48.8513870000,2.3431860000
48.8686411244,2.3895666003
48.8522770000,2.2800410000
48.8645180000,2.2698050000
48.8772030000,2.2838210000
48.8415650000,2.2925190000
48.8373260000,2.3285770000
48.8233170000,2.3657010000
48.8210280000,2.3545150000
48.8647870000,2.4101080000
48.8613270000,2.3646020000
48.8662530000,2.3354970000
48.7883700000,2.3848800000
48.7741500000,2.4037300000
48.8477400000,2.4403000000
48.7954800000,2.4869800000
48.8421150000,2.5011700000
48.8200990000,2.4788820000
48.8100700000,2.4237100000
48.7533000000,2.3475500000
48.7534800000,2.4107900000
48.8051700000,2.5722800000
48.7274700000,2.5311000000
48.9682421218,2.5511906106
48.9581800059,2.4848115273
48.9420400000,2.4920000000
48.9195030000,2.3261220000
48.8849400000,2.4815600000
48.9047840348,2.3934013165
48.8587000000,2.5065400000
48.8643486047,2.5033120572
48.8630055353,2.4660628920
48.9595200000,2.3142200000
48.9460206396,2.5101830821
48.8656660000,2.2160830000
48.8222255152,2.2065806687
48.8609833144,2.2100881934
48.8279290000,2.1515860000
48.8854000000,2.2344000000
48.8787400000,2.2786600000
48.7996100000,2.2818300000
48.8128800000,2.2462000000
48.9036646539,2.3030495346
48.7844900000,2.2748800000
48.7806300000,2.2630400000
48.8371210000,2.2483650000
48.8019115375,2.3106474280
48.7430900000,2.2877800000
49.6431298707,1.2667151729
47.9349260000,7.1194410000
14.7437370000, -61.1762680000
46.0205690000,3.2010610000
48.5364820000, -1.9770560000
49.6888370000,1.3520320000
50.4679670000,1.7957070000
49.1540190000,4.2083750000
48.7216600000,3.7876220000
48.9105060000,4.4309230000
42.9637470000,9.4242330000
43.1153507439,0.3653141856
45.1866650000, -0.7671980000
46.4532300000,5.3108650000
46.1953910000,4.2970810000
47.0502810000,4.3467070000
46.5654850000,4.9036040000
47.8170240000,3.8992600000
45.8665470000,3.5659700000
45.7527020000,3.3648310000
48.5441070000,0.4924430000
48.2583790000, -3.2235620000
48.4312260000, -4.4026580000
45.6782480000,5.4493740000
49.3365570000,3.3015930000
44.7366280000,5.2661630000
49.2166300000,0.0098380000
43.0363570000,1.5407970000
49.1766540000,2.3531560000
48.2125820000,2.4580700000
45.7513020000,6.4064350000
45.8872210000, -0.0758020000
48.3978973804, -0.3763012008
44.8877160000,0.5492360000
49.0087060000,0.5290250000
45.8907400000, -1.2204910000
44.5215710000,3.6125280000
4.8953090000, -52.3298120000
48.8612420000,2.8655430000
48.7695300000,7.5224800000
44.3172160000, -0.2293400000
46.2004260000,4.3078640000
 -22.2662620000,166.6144950000
47.7646010718,2.4916333508
48.7552089048,2.8588062388
43.2660980994,5.5862754381
43.3158030000,5.6656620000
49.8693940000,4.7420280000
48.0511340000,7.5370130000
48.6265620000,7.5046440000
48.4903840000,7.6755970000
46.5530340000,3.6922510000
42.9365220000,0.2088900000
45.7043210000, -0.9248260000
44.7244980000, -0.5950160000
47.6382310000, -2.9528660000
49.5410810000,2.7454340000
48.9721000000,3.2805820000
43.4165772776,5.2761912345
45.7396600000,4.9047800000
45.6724209559,4.8474758863
44.8703800000, -0.5054400000
44.8441100000, -0.5028200000
44.8636610000, -0.5039290000
48.6692800000,2.1943400000
48.6362800000,2.4000500000
48.6681500000,2.3548000000
48.6252100000,2.2626200000
48.7503500000,2.2215700000
48.7670300000,2.2299400000
48.9127540000,2.1725530000
48.9477454931,2.4439196803
48.9037100000,2.4712500000
48.8175715400,2.4363184350
48.7760253175,2.4435371724
48.8922288352,2.2849167287
48.8508680000,2.2518930000
48.8763230000,2.2785250000
48.8852770000,2.2871230000
48.8698870000,2.2715100000
48.8217520000,2.3179320000
48.8450970000,2.3201020000
48.8395520000,2.3372710000
48.8908920000,2.3532080000
48.8817740000,2.3143470000
48.8697880000,2.2856150000
48.8663180000,2.2315670000
48.8406100000,2.3214980000
48.8418010000,2.3190500000
48.8278460000,2.3289100000
48.8209490000,2.3640280000
48.8395040000,2.3848970000
48.8549840000,2.3821120000
43.1061020000, -0.0633830000
43.3681070000, -1.7657540000
43.3185100000, -0.3603000000
50.4264390000,2.7750820000
50.6658500000,3.0640600000
50.6242500000,3.0612700000
47.4731200000, -0.5563700000
47.8868310000,1.9032070000
47.9473500000,1.8652800000
45.4129200000,4.3963100000
45.1802300000,5.7115700000
47.3969983917,0.6635409594
43.3958000000,3.6951300000
44.8485100000, -0.5373400000
44.6619000000, -1.1491000000
43.6537800000,0.6119490000
43.5631600000,1.4180500000
49.0149600000,1.1603900000
46.1660000000, -1.1418400000
43.4333300000,5.2625200000
43.4074800000,5.2273800000
43.2979900000,5.3768000000
43.2899500000,5.3759200000
44.5352000000,2.3185700000
43.1911100000,2.3318100000
48.8264910000,2.3891460000
48.8591630000,2.4021270000
48.8646200000,2.4058370000
48.8511780000,2.2751510000
48.8473450000,2.3867860000
48.8815931130,2.3657324910
48.8822360000,2.3217280000
48.8733930000,2.3195740000
48.8735268865,2.2958260775
48.8702990000,2.3327030000
48.8630280000,2.3419180000
48.8448600000,2.4210000000
48.7329600000,2.4502200000
48.7779200000,2.4667300000
48.7276400000,2.4455700000
48.9130214993,2.5386958396
48.9188500000,2.3545600000
48.9338819944,2.4653543914
48.9076193213,2.3962568616
48.9379880000,2.3241900000
48.8442803244,2.2075653076
48.8904197242,2.2836719155
48.8407128516,2.2281448245
47.7394820000, -1.8459020000
44.5004294896,0.8485872226
46.9071610000,0.4390450000
14.7428450000, -61.0986190000
48.3056700000, -1.9459460000
45.9211620000,4.8138890000
48.1038080910, -4.0305302350
48.3128700000, -2.2420260000
46.2655940000,6.3727030000
49.1903030000,4.8906400000
46.9447150000, -0.1325600000
46.4433600000, -0.4476800000
41.9149960000,8.8390910000
42.4639570000,9.4959910000
46.5639910000,4.9121120000
45.9756850000,4.1375180000
44.9125400000,1.8417660000
46.3909090000,5.8642910000
48.6771230000, -1.8563840000
49.0180690000,3.3760270000
45.8576410000,5.7427700000
46.5148930000,4.9795750000
48.2702540000,0.1969650000
47.6312440000,0.3053510000
49.2266840000, -0.8712240000
44.5236820000,5.7574130000
46.9210910000,2.7681900000
45.3968490000, -0.3070590000
45.5113510000,2.2201930000
49.4181300000,0.7955500000
45.4933200000,6.9261350000
16.2521140000, -61.5840770000
 -17.5580000000, -149.4760000000
15.9968100000, -61.6070800000
48.6952660000,2.2857360000
48.4986640000,1.8152330000
41.5022560000,9.0300940000
42.6802350000,2.6301630000
42.6403780000,2.9098050000
43.4861990000,5.2302550000
48.3758790000,7.4885020000
45.5086274897,2.9099929333
45.9428240000,6.4246420000
45.4493112809,6.6945991516
45.7433500000,4.2208980000
44.9690260000,5.4290700000
45.6998180000, -0.7982070000
48.0721510000, -4.1935530000
48.5996430000, -2.4631910000
49.3319710874,2.1755053996
50.1257279374,3.4225577116
50.6341790000,2.7378700000
43.3909700000,5.3012400000
48.9189886921,2.2237886747
48.8275900000,2.0778740000
48.9240500000,2.3875300000
48.8220360000,2.4623560000
48.7348200000,2.6110700000
48.8301300000,2.6142300000
48.7707911137,2.3864331060
50.7011500000,3.1919100000
47.7530900000,7.3439800000
47.8980053910,1.9103376567
45.4040300000,4.2350000000
45.7290662010,4.8866817355
45.7549730489,4.8492624033
45.7243852006,4.8713395000
14.6202300000, -61.0214800000
14.6076400000, -61.0689500000
14.6423200000, -61.0426800000
48.4091920000,2.3801980000
42.6872200000,9.4457900000
43.4272740000,3.5589050000
42.6941000000,9.4523000000
44.1212010000,4.9697400000
47.3289720000,6.3648940000
16.2537000000, -61.5234800000
16.2654000000, -61.4688600000
45.6284900000,4.8203900000
41.9248900000,8.7389400000
46.4657900000, -0.7934550000
48.9824936999,2.3701822758
46.8995750000, -0.8402400000
49.2836490000, -0.7050390000
48.6532500000,2.3946900000
48.2432600000,3.2533000000
49.4596790000,2.3843430000
49.3004980000,2.1972760000
48.8243000000,2.7070000000
48.3766200000,2.7395900000
50.4141860000,1.6937510000
49.4526500000,1.0565800000
43.2949000000,5.4262400000
49.3432530276,1.0908114910
43.2896400000,5.5575400000
49.4874500000,0.1421000000
43.4061400000,5.3367000000
45.7647300000,4.8845000000
43.2907477875,5.4875286322
48.2379300000,7.4785700000
43.3664345541,5.3608052872
43.3221700000, -0.3668700000
44.7894580000, -0.6038600000
45.7813000000,3.1047000000
44.8944140000, -0.4981660000
49.2408300000,6.0679800000
47.7493800000, -3.3740150000
48.6932600000,6.1279500000
48.7578300000,2.3282900000
48.6420072187,4.9351894855
48.6247500000,2.4708800000
49.6380800000, -1.6239000000
48.7319740000,2.3106990000
44.4155000000,0.6619000000
44.2059900000,0.6116800000
48.6447670000,2.5434560000
44.2052640000,0.6251970000
47.2614700000, -2.2620100000
48.7414300000,2.3212000000
45.4370900000,4.3908900000
48.9423087641,2.2895919163
48.9276695515,2.3328449875
48.9186200000,2.3576000000
45.1889700000,5.7293600000
48.1701414333, -1.6936567426
49.0354100000,2.1170100000
48.1157646679, -1.7045089602
48.9746867186,2.2441935539
43.5762500000,3.8723400000
48.9668465843,2.4759478569
48.8290100000,2.7383700000
43.3237520000,3.2490740000
 -20.9553100000,55.3117200000
44.8862600000, -0.6483300000
45.7167823032,4.8772430420
48.0167605000, -4.0953481700
45.7274300000,4.8785000000
45.7238300000,4.8423400000
47.8741235217, -3.8982739449
14.6130000000, -61.0529500000
47.8689600000, -3.9174200000
45.7624400000,4.8041800000
16.2116000000, -61.4742000000
41.9229243168,8.7375930547
45.6159300000, -1.0019300000
49.0213000000,2.4710200000
48.6843800000,2.1885900000
48.6840850000,2.5350230000
48.4525800000,2.1603600000
46.5140540000, -1.7765130000
43.0925402139,5.8401346207
43.1171400000,6.1438000000
48.7974000000,3.0740000000
45.6966100000,5.9074600000
48.5503800000,7.7111500000
48.5458995958,7.7655610442
43.3009100000, -0.3596800000
43.3023600000, -0.3603900000
43.4817605980, -1.5095552820
50.6420300000,3.0534900000
49.3567900000,6.1577280000
47.7616000000, -3.3882000000
49.2548800000,4.0352500000
47.2530800000, -0.0892800000
47.4741200000, -0.5373200000
45.1826800000,5.7171600000
47.3435792180,0.6269904971
48.1100100000, -1.6623100000
43.5554700000,3.8603700000
43.3624800000,3.2429270000
44.8536500000, -0.5352600000
48.4074050000, -4.5222590000
48.7233610000,1.3689670000
47.2377900000,6.0148800000
46.1348700000, -1.1204700000
44.9263300000,2.4454400000
43.6318960713,5.1000122584
43.2854500000,5.3898500000
43.3482600000,5.3560900000
43.2900100000,5.3836200000
43.5134382639,5.4553753741
43.2269700000,2.3522600000
48.3296700000,4.0458000000
44.7371560000,4.6124070000
44.9278700000,4.8555800000
48.8747450000,2.4105430000
48.8961810000,2.3750560000
48.8754620000,2.3979220000
48.8914380000,2.3850170000
48.9003590000,2.3766420000
48.8936240000,2.3363550000
48.8275720000,2.2929310000
48.8296650000,2.3304160000
48.8259757143,2.3826304078
48.8816060000,2.3657710000
48.8640607303,2.3201134801
48.8625730000,2.3104080000
48.8603250000,2.3530030000
48.8571810000,2.3473330000
48.8609090000,2.3408390000
48.8518310000,2.3565480000
48.8550970000,2.3616800000
48.7330600000,2.4486100000
48.8136400000,2.3505900000
48.7979800000,2.3433700000
48.7926210853,2.3377833365
48.8085100000,2.3737500000
48.7462320000,2.3716910000
48.7577700000,2.3292400000
48.8296100000,2.4011300000
48.9669049273,2.5519759657
48.9560000000,2.5405000000
48.9150800000,2.3310000000
48.9113100000,2.3326000000
48.9200790000,2.4494210000
48.8928380000,2.4766550000
48.9084440000,2.3873550000
48.9103852057,2.3992601037
48.8802183655,2.2739046514
48.8081386378,2.2983136922
48.9045636888,2.3081863672
49.9897720000,2.6389100000
45.8950300000, -0.8550520000
46.0931850000,4.1192780000
14.6798870000, -60.9809550000
43.1325700000,1.6236900000
44.5762690000,4.8071840000
43.6235200000,6.9274500000
43.6350240000,6.9117870000
45.3264520000,5.5797730000
49.8219700000,3.2992100000
43.1920154041,6.0376739502
46.8678790000, -0.9957920000
48.3557860000,4.1515548900
44.0137820000,4.7976460000
 -21.0762510000,55.6985810000
50.1833560000,3.0920930000
51.0166952590,2.5520306826
50.2416060000,2.8090670000
 -21.2226610000,55.3197720000
47.7810100000,0.8008220000
43.2741670000,6.1228660000
49.1290870267,2.4314439297
43.9984430000,1.2519960000
50.1255970000,3.7351980000
43.4252193056,0.6077332405
48.8533140000,2.3757320000
47.7480500000,3.9352130000
47.9336300000, -3.3189900000
47.9148900000,3.5868430000
48.8127400000,2.3872300000
44.1029150000,1.0868790000
48.8982670000,0.1306070000
48.7272500000,2.4453100000
49.3359940000,5.5490770000
44.1433890000,1.5223490000
43.5163590000,2.7111360000
48.8564800000,2.4653500000
45.2279970000, -0.8794210000
48.7609800000,2.4931500000
47.6293670000,7.2271800000
45.6365170000,4.3953310000
46.4429880000,5.7102300000
48.7735800000,2.5049300000
47.2967130000, -2.4048310000
49.0120663253,2.5967078716
50.0388480000,3.6976560000
47.1860600000,6.3995900000
48.8563300000,2.4450000000
47.1000980000, -1.9906320000
49.5893210000,3.3483300000
47.9427790000, -3.7640670000
46.2277280000,3.3417480000
48.9544000000,2.3082100000
45.5141310000,5.0789470000
46.7315669292, -1.2867696061
49.0298000000,3.3750240000
48.4047910000,0.0900360000
48.8925257182,2.1869911551
44.5854740000,6.5337160000
44.6322300000,5.0788920000
48.7998881231,2.3232586383
48.6114200000, -1.1203370000
48.8254640000,2.2683670000
47.1068510000,2.2853060000
43.1814640000, -1.3245340000
48.7832753035,2.2663856149
45.1385540000,3.7951780000
48.7940300000,2.2651100000
47.1434910000,2.2220330000
48.9112380000,2.2648920000
48.1476450000, -0.4130170000
46.7695800000, -0.9522560000
44.6772060000,4.4607660000
48.2147054409, -1.8924929202
44.2061960000,3.2895210000
45.8171210000,5.2065320000
44.5649300000,4.2224720000
 -17.7413520000, -149.5727020000
49.1504551291,2.2712570429
43.8238150000, -1.0945130000
43.6867330000,1.4202610000
43.5865320000,5.1597940000
48.2681120000,1.1533930000
46.9825200000, -1.3179100000
45.7498200000,4.9126000000
14.6428110000, -61.1369200000
47.9107690000,1.8493290000
46.4102600000, -0.8957280000
49.5104069939,4.3672906011
 -21.0551060000,164.8639600000
4.7909690000, -52.3547460000
46.2421770000,6.0246440000
48.8643370000, -0.8733480000
4.9324870000, -52.4470140000
41.9265400000,8.7363900000
4.8922765735, -52.3481208086
48.9512900000, -0.8044800000
43.1872300000,2.9728800000
43.5607010000,3.7988660000
43.4757040000,5.6232830000
48.3180610000, -2.2603940000
45.6497150000,3.5594840000
43.8957750000,6.1121360000
42.5500230000,8.7666000000
44.2194080000,0.5830000000
43.3614520000,5.2329580000
 -20.9305400000,164.7207500000
48.1567609700, -4.0622620580
43.4151000000,5.3650000000
48.9508596726,3.0593628398
 -22.6545020000,167.4449600000
48.4062010000, -4.5516660000
42.8169960000,2.9073160000
 -13.3398220000, -176.1949490000
48.6179990000, -4.5545300000
48.9315600000,2.0470600000
43.3785918649,5.6902098656
43.2562990000,5.6486250000
45.3365490000,5.1856060000
49.1075300000,6.1062300000
43.4346910000,5.5611040000
45.6241150000,5.6143570000
45.6980464351,4.8770250558
48.1014200000,7.1356310000
45.5923300000,5.5806260000
43.8065870000,7.3273540000
44.6166010000, -1.1087850000
48.6230560000,7.4737870000
48.8277300000,2.1258900000
46.3283390000,2.5135620000
48.7566590000,7.8870620000
48.2528550000,2.9706430000
49.0966768826, -0.7747936249
43.7227650000,0.9272130000
48.5983770000,2.2161580000
48.1444020000,6.5992160000
49.2767930000,2.5943720000
48.6994300000,2.4265100000
42.5087420000,9.3561460000
49.1897150000,6.1447960000
48.6485920000,2.4079960000
43.2507360000, -0.8788420000
48.6652500000,2.3619500000
43.8388760000,4.9451140000
46.8860670000,2.5627860000
45.5558910000,5.3494630000
48.8651410000,2.3469170000
45.2769060000,5.6480460000
14.5337850000, -61.0258230000
45.3528540000,4.3160390000
49.5642370000,1.5474110000
45.8135130000,0.5407730000
49.2876210000, -0.7149120000
46.7063200000,1.7504000000
49.2324764758,2.4708445072
46.8197100000,1.7110100000
43.2777600000,5.5867500000
46.7957701547,1.6650724411
44.7585430000,4.7362020000
43.4268800000,5.2627000000
45.3933700000,4.3247000000
43.2929784052,5.4763774141
45.5249310000,4.2884540000
47.9679230000, -0.3778160000
43.4152800000,5.3647900000
48.4564790000, -2.0511720000
48.5901400000, -2.1916670000
43.2785000000,5.5862200000
45.8928870000,0.9074070000
44.1290370000,4.1293120000
43.2943720000,5.4243920000
46.3150700000,3.2244650000
45.5885198982,4.7928897142
43.6688960000,5.1517080000
48.6505520000,5.8738790000
48.1377690000, -1.7724040000
48.5332400000, -2.7598800000
44.7911400000, -0.6457800000
 -22.1021500000,166.3207000000
44.8611200000, -0.5041600000
43.6265490000,7.0443830000
43.2267448519,2.6997704031
48.9150020000,2.0056050000
43.2920614867,5.4530721902
48.8397805788,2.2045647677
48.6740700000,7.7357270000
48.8544130000, -0.5720510000
48.8604020000,2.0478070000
48.5381700000, -2.7611500000
45.7137240000,4.7411530000
48.9721100000,2.4953900000
48.5103220000,3.6064340000
48.9338056959,2.3831856251
47.0484738633,5.2237150183
