longitude,latitude,name,markerinnerhtml
3.157352,45.753779,L'hair Vegetal,<p><b>L'hair Vegetal</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=L%27hair+Vegetal 4+AV+DE+CLERMONT+COURNON+D%27AUVERGNE'>Voir la devanture via Google Maps</a></p>
0.458381,46.493259,L' Hair Coquette,<p><b>L' Hair Coquette</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=L%27+Hair+Coquette 6+RTE+DE+LA+MARCAZIERE+NIEUIL+L%27ESPOIR'>Voir la devanture via Google Maps</a></p>
1.910343,47.935477,Atmosp'hair,<p><b>Atmosp'hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Atmosp%27hair RUE+DU+COLONEL+FABIEN+FLEURY-LES-AUBRAIS'>Voir la devanture via Google Maps</a></p>
4.485841,45.544207,Imagina'tifs Coiffure,<p><b>Imagina'tifs Coiffure</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Imagina%27tifs+Coiffure 11+RUE+DE+LA+MAIRIE+SAINT-CHRISTO-EN-JAREZ'>Voir la devanture via Google Maps</a></p>
4.277068,45.796125,Mb Crea-tifs,<p><b>Mb Crea-tifs</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Mb+Crea-tifs 45+RUE+SAINT+PIERRE+ROZIER-EN-DONZY'>Voir la devanture via Google Maps</a></p>
-0.345721,46.117827,Sarl C Dans L'hair,<p><b>Sarl C Dans L'hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Sarl+C+Dans+L%27hair 52+RUE+DUGUESCLIN+CHIZE'>Voir la devanture via Google Maps</a></p>
3.969664,45.736263,L'hair Naturel,<p><b>L'hair Naturel</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=L%27hair+Naturel 17+AV+DES+PROMENADES+SAIL-SOUS-COUZAN'>Voir la devanture via Google Maps</a></p>
1.169384,48.209096,De Meche Avec Vous,<p><b>De Meche Avec Vous</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=De+Meche+Avec+Vous 19+RUE+DE+LA+REPUBLIQUE+BROU'>Voir la devanture via Google Maps</a></p>
0.146797,48.909336,Diminu'tiff,<p><b>Diminu'tiff</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Diminu%27tiff LES+COSNIERS+CROUTTES'>Voir la devanture via Google Maps</a></p>
-61.034207,14.537021,Sas Le Rep'hair,<p><b>Sas Le Rep'hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Sas+Le+Rep%27hair 2+RUE+EPIPHANE+MOIRANS+LES+TROIS-ILETS'>Voir la devanture via Google Maps</a></p>
-1.491166,47.298034,Creatif,<p><b>Creatif</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Creatif 26+RUE+F+R+DE+CHATEAUBRIAND+CARQUEFOU'>Voir la devanture via Google Maps</a></p>
9.45221,42.703507,Element'hair,<p><b>Element'hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Element%27hair 2+RUE+NOTRE+DAME+DE+LOURDES+BASTIA'>Voir la devanture via Google Maps</a></p>
1.709768,48.983159,Attrac'tifs,<p><b>Attrac'tifs</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Attrac%27tifs 74+AV+JEAN+JAURES+MANTES-LA-VILLE'>Voir la devanture via Google Maps</a></p>
4.801257,43.389744,Imagin Hair,<p><b>Imagin Hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Imagin+Hair 49+AV+GABRIEL+PERI+PORT-SAINT-LOUIS-DU-RHONE'>Voir la devanture via Google Maps</a></p>
6.451481,48.171655,Jean Rob'hair,<p><b>Jean Rob'hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Jean+Rob%27hair 27+RUE+DE+LA+LOUVIERE+EPINAL'>Voir la devanture via Google Maps</a></p>
