latitude,longitude
49.0532,2.133
43.3684,5.35661
50.61,3.03764
48.1524,-0.403651
48.2969,-0.611258
46.6331,1.06403
44.561,6.49239
50.9398,1.89115
50.61,3.03764
48.9362,2.5106
43.5644,7.02376
43.7728,7.19309
47.7084,2.62321
43.8401,5.03799
49.208,1.15292
43.3684,5.35661
46.597,4.0576
14.4685,-60.9228
49.3566,5.99919
43.0952,-0.716466
43.6551,6.92154
47.221,5.96605
49.0945,5.62516
48.2292,-3.1933
48.6839,6.18941
48.7906,2.26152
44.8765,-0.523205
45.7175,4.91799
48.1139,-1.63823
48.8862,2.44059
48.8911,2.40652
48.3047,4.09398
48.0571,-1.73247
47.2154,5.97953
48.1193,-1.69203
48.7561,5.58283
49.5029,-1.46492
49.3422,5.39821
44.8139,-0.601105
-20.9658,55.3236
45.7609,4.83149
49.2141,5.63652
49.0399,2.07556
47.9335,2.92607
44.6351,-0.318002
47.8675,2.22114
48.6525,1.82661
47.389,0.682825
43.5596,1.42436
43.3111,5.40969
48.8978,2.32656
49.7617,4.69512
48.8387,2.36127
45.4391,-0.433836
49.2252,5.03723
48.1205,-1.70923
44.9358,1.8562
47.8666,2.12227
43.2959,5.37007
44.608,2.01456
44.7569,5.37011
48.8543,2.34773
48.8823,2.35126
48.262,2.70465
50.3006,2.74541
48.5433,7.49381
48.7352,7.06863
47.9938,2.72633
48.1193,-1.69234
48.2024,1.87735
43.5991,1.43651
45.678,0.235674
45.7421,4.89402
48.8502,2.38312
48.4119,2.6963
48.5145,-2.76577
48.9444,2.35676
45.8248,4.59858
46.9025,5.77478
49.7371,4.85412
48.7419,0.920467
48.3828,2.95396
47.4877,-0.591482
47.7998,1.06423
46.5623,3.33254
48.8428,2.40528
47.8542,3.98033
18.0731,-63.0828
48.0839,-4.31638
49.8144,4.74526
49.1125,2.4285
48.8054,2.57815
49.4626,4.11037
44.8408,-0.58246
43.3748,-0.343464
49.1142,2.22334
46.4292,5.7252
43.2713,5.40041
47.8594,1.90565
46.9975,5.14846
43.127,5.92529
47.4736,-1.76531
48.8991,2.33084
49.2719,1.21281
48.8603,2.38548
48.3735,2.82071
44.024,1.36153
48.6567,2.24157
48.4232,1.50613
48.958,2.86414
46.7943,1.70818
49.3467,0.514494
47.9966,0.220022
48.8946,2.22835
48.8657,2.40076
48.8302,2.53968
48.3495,1.99722
49.0271,1.58246
48.849,2.23711
49.1517,2.27652
48.9888,1.76737
48.8736,2.3652
16.224,-61.3842
48.7899,2.25372
48.9127,2.73114
48.9589,2.60219
48.0732,1.35214
45.6329,0.160234
47.081,2.39878
48.9105,2.3847
49.9255,4.52241
47.3002,5.01138
49.011,2.51474
49.0296,2.45643
48.4827,2.72222
43.6638,7.20187
48.1181,-1.70075
48.8786,2.40271
43.7005,1.8184
45.7391,0.389657
48.7934,2.64985
48.7962,2.44801
45.9022,6.12847
48.7936,2.44907
-20.9566,55.3355
47.3536,-0.445881
43.8465,6.22142
48.6922,2.29071
-20.9582,55.3263
48.9249,2.37454
47.1304,4.48283
48.8587,2.39079
47.2908,3.81534
-20.9863,55.3825
48.2927,2.43747
45.4784,4.36788
43.6741,4.62594
48.8039,2.39575
48.7948,2.36372
44.4771,4.22735
47.6649,4.73306
-12.7784,45.2283
46.141,6.32059
49.0723,5.42979
45.3162,4.72869
48.9432,3.13749
48.1531,-1.68513
48.5885,2.56739
48.712,2.2413
49.0239,1.13601
43.5518,6.96093
48.7667,1.19248
47.3814,0.698374
47.6716,1.24155
48.7733,-3.03561
45.8269,4.95731
48.9789,5.71484
48.8413,2.3001
43.6656,7.12703
48.5068,-2.74382
46.7095,-0.597003
45.3368,1.0516
48.8447,2.2176
49.6242,-1.645
16.251,-61.274
43.827,4.33138
49.012,2.02311
44.8013,4.78184
49.1138,-1.09151
43.2883,0.644903
47.0994,2.48198
48.9075,2.30849
48.6379,2.43547
48.5681,-3.14408
44.5558,-0.245072
43.657,-0.0860449
48.3167,0.838781
16.2257,-61.7854
48.447,-4.26673
48.864,2.36153
48.8985,5.32949
48.5066,-2.74395
44.8473,0.478498
43.747,1.37604
43.9308,4.83131
47.6196,2.49234
44.0503,2.15082
-20.933,55.6521
43.3695,2.28568
47.1486,6.34522
48.8461,2.34488
48.6369,2.79866
43.9175,2.11465
-12.765,45.2266
46.635,1.42309
47.8243,2.84543
48.6356,5.02231
47.3375,2.85577
45.7021,4.80642
48.4446,-2.04726
-20.9772,55.6558
48.5565,2.64033
48.8507,2.33263
43.3388,3.22477
48.8778,2.31735
43.7134,1.39245
47.1456,2.21734
43.3959,-1.45461
48.6255,2.44055
43.9349,-0.0734682
47.8772,1.95778
48.8594,2.30736
44.6487,1.56858
47.756,1.1931
49.0319,2.22461
48.0534,-2.95571
49.1555,5.3816
49.0349,2.08075
47.0814,2.72829
43.2438,2.11089
48.8726,2.34044
46.9875,3.15817
49.0221,1.13755
43.782,7.33733
45.1493,4.61509
48.7308,2.27139
44.3604,2.55522
43.8677,4.44416
48.8453,2.39271
48.9671,2.39793
46.1042,3.89567
44.165,4.87774
46.7968,0.535383
48.8228,2.36355
44.3621,2.02434
48.2722,1.6249
48.8402,2.25831
48.8419,2.30962
48.8324,2.35601
45.0263,0.718872
49.6329,5.17535
49.0468,7.42257
48.833,2.32634
48.8456,2.36818
43.926,2.14272
47.903,1.90926
47.796,3.57037
46.1985,6.23831
46.4361,5.3439
49.0031,1.91088
48.8846,2.38281
44.8521,-0.532148
48.4825,-2.79121
44.5032,1.19208
49.9029,4.27997
43.5353,6.47115
47.2398,5.22259
47.8647,-4.21563
48.8434,2.41655
48.8173,2.33774
48.89,2.3715
48.8506,2.76969
48.8311,2.12813
47.0057,3.15605
48.6173,2.4666
43.439,6.75333
46.4286,0.866061
45.4798,4.36101
-21.1706,55.4756
48.9813,2.37473
49.0508,2.0713
48.8669,2.71248
48.9887,2.29268
47.9315,1.92076
47.2851,5.06124
48.9472,2.53082
49.0679,2.15534
4.93756,-52.3349
48.8679,2.36326
48.8804,2.43039
49.008,6.39542
-21.0309,55.4764
48.5415,2.6552
49.4684,1.11628
48.6569,2.38657
46.1531,4.58885
48.7367,2.77979
45.6595,3.94395
47.6909,0.420435
45.7605,4.99769
48.1961,1.93684
46.6736,5.55799
48.9687,2.3048
47.1799,-1.57102
45.752,6.42211
48.8621,2.44139
46.3155,-0.452071
47.9625,3.51408
48.9062,2.44454
49.2796,1.76574
46.8019,4.44702
48.0662,-0.783254
48.9447,2.24012
45.5274,4.61922
44.4527,4.34213
48.3886,-4.53141
-21.3803,55.6506
45.9523,-1.25137
-21.3717,55.7167
48.401,-4.46947
47.6169,6.15631
43.3684,5.35661
43.9348,4.8306
45.6468,5.86265
47.0951,2.39973
50.6205,2.98381
51.0399,2.38074
-20.8915,55.4439
46.7792,4.74829
50.6675,1.84047
46.8762,0.569044
45.8135,5.85003
47.6096,1.90374
45.8005,2.46853
43.3684,5.35661
48.5355,2.66195
50.293,2.76048
48.0439,0.218664
44.4863,5.38062
43.3997,1.71462
45.9026,6.13204
48.6052,7.74805
48.2965,6.11147
15.8667,-61.5824
46.2043,-1.364
43.3222,-0.579643
48.3953,-4.48761
16.2593,-61.5272
48.3781,2.93754
45.2751,1.76922
46.4258,0.261795
43.593,1.35735
49.0832,6.24146
48.8651,2.399
46.3239,-0.46455
47.9878,-4.09496
43.3397,3.25431
4.87158,-52.3383
47.5753,-0.356845
45.1495,5.75446
43.6295,3.85151
46.6759,5.53949
44.4073,4.39553
47.3261,5.06793
47.1342,2.54728
46.0798,6.71499
48.856,1.43953
48.5639,-3.15965
